Movie,Year,Genres,Certification/Rating,IMDb ID,Writer,Director
300,2006,"Action, Drama",R,tt0416449,Zack Snyder,Zack Snyder
1408,2007,"Fantasy, Horror, Mystery",PG-13,tt0450385,Matt Greenberg,Mikael H?str?
2012,2009,"Action, Adventure, Sci-Fi",PG-13,tt1190080,Roland Emmerich,Roland Emmerich
12 Angry Men,1957,"Crime, Drama",Approved,tt0050083,Reginald Rose,Sidney Lumet
12 Strong,2018,"Action, Drama, History",R,tt1413492,Ted Tally,Nicolai Fuglsig
12 Years a Slave,2013,"Biography, Drama, History",R,tt2024544,John Ridley,Steve McQueen
127 Hours,2010,"Biography, Drama",R,tt1542344,Danny Boyle,Danny Boyle
13 Hours,2016,"Action, Drama, History",R,tt4172430,Chuck Hogan,Michael Bay
2001 A Space Odyssey,1968,"Adventure, Sci-Fi",G,tt0062622,Stanley Kubrick,Stanley Kubrick
28 Weeks Later,2007,"Action, Adventure, Horror",R,tt0463854,Rowan Joffe,Juan Carlos Fresnadillo
300 Rise Of An Empire,2014,"Action, Drama, War",R,tt1253863,Zack Snyder,Noam Murro
5 Days of War,2011,"Action, Drama, War",R,tt1486193,Mikko Alanne,Renny Harlin
8 Mile,2002,"Drama, Music",R,tt0298203,Scott Silver,Curtis Hanson
A Beautiful Mind,2001,"Biography, Drama",PG-13,tt0268978,Akiva Goldsman,Ron Howard
A Few Good Men,1992,"Drama, Thriller",R,tt0104257,Aaron Sorkin,Rob Reiner
A Good Day to Die Hard,2013,"Action, Thriller",R,tt1606378,Skip Woods,John Moore
A Good Year,2006,"Comedy, Drama, Romance",PG-13,tt0401445,Marc Klein,Ridley Scott
A heart in winter,1992,"Drama, Music, Romance",N/A,tt0105682,Claude Sautet,Claude Sautet
A Separation,2011,Drama,PG-13,tt1832382,Asghar Farhadi,Asghar Farhadi
A View to a Kill,1985,"Action, Adventure, Thriller",PG,tt0090264,Richard Maibaum,John Glen
A Walk On The Moon,1999,"Drama, Romance",R,tt0120613,Pamela Gray,Tony Goldwyn
About Cherry,2012,Drama,R,tt1945062,Stephen Elliott,Stephen Elliott
About Time,2013,"Comedy, Drama, Fantasy",R,tt2194499,Richard Curtis,Richard Curtis
Absolutely Anything,2015,"Comedy, Sci-Fi",R,tt1727770,Terry Jones,Terry Jones
Adrift,2018,"Action, Adventure, Biography",PG-13,tt6306064,Aaron Kandell,Baltasar Korm?kur
Against the Sun,2014,"Biography, Drama, War",PG,tt2557276,Brian Peter Falk,Brian Peter Falk
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,"Comedy, Drama, Family",PG,tt1698641,Rob Lieber,Miguel Arteta
Alita Battle Angel,2019,"Action, Adventure, Sci-Fi",PG-13,tt0437086,James Cameron,Robert Rodriguez
All The Real Girls,2003,"Drama, Romance",R,tt0299458,David Gordon Green,David Gordon Green
Allied,2016,"Action, Drama, Romance",R,tt3640424,Steven Knight,Robert Zemeckis
Along Came Polly,2004,"Comedy, Romance",PG-13,tt0343135,John Hamburg,John Hamburg
American Assassin,2017,"Action, Thriller",R,tt1961175,Stephen Schiff,Michael Cuesta
American Hustle,2013,"Crime, Drama",R,tt1800241,Eric Warren Singer,David O. Russell
American Sniper,2014,"Action, Biography, Drama",R,tt2179136,Jason Hall,Clint Eastwood
America's Sweethearts,2001,"Comedy, Romance",PG-13,tt0265029,Billy Crystal,Joe Roth
Amistad,1997,"Biography, Drama, History",R,tt0118607,David Franzoni,Steven Spielberg
An Eye For Beauty,2014,Drama,Unrated,tt2414040,Denys Arcand,Denys Arcand
An Inconvenient Truth,2006,"Documentary, News",PG,tt0497116,Al Gore,Davis Guggenheim
Angel Has Fallen,2019,"Action, Thriller",R,tt6189022,Robert Mark Kamen,Ric Roman Waugh
Angels & Demons,2009,"Action, Mystery, Thriller",PG-13,tt0808151,David Koepp,Ron Howard
Angry Birds,2021,"Short, Action, Crime",N/A,tt15281754,Reejah,Reejah
Anthropocene The Human Epoch,2018,Documentary,N/A,tt8399690,Jennifer Baichwal,"Jennifer Baichwal, Edward Burtynsky, Nicholas de Pencier"
Ant-Man And The Wasp Quantumania,2023,"Action, Adventure, Comedy",PG-13,tt10954600,Jeff Loveness,Peyton Reed
Argo,2012,"Biography, Drama, Thriller",R,tt1024648,Chris Terrio,Ben Affleck
Armageddon,1998,"Action, Adventure, Sci-Fi",PG-13,tt0120591,Jonathan Hensleigh,Michael Bay
Army Of Thieves,2021,"Action, Comedy, Crime",TV-MA,tt13024674,Zack Snyder,Matthias Schweigh?fer
Around The Sun,2019,Drama,N/A,tt5219958,Jonathan Kiefer,Oliver Krimpas
Arrival,2016,"Drama, Mystery, Sci-Fi",PG-13,tt2543164,Eric Heisserer,Denis Villeneuve
Artemisia,1997,"Biography, Drama, History",R,tt0123385,Patrick Amos,Agn?s Merlet
Assassin's Creed,2016,"Action, Adventure, Sci-Fi",PG-13,tt2094766,Michael Lesslie,Justin Kurzel
August Rush,2007,"Drama, Music",PG,tt0426931,Nick Castle,Kirsten Sheridan
Ava,2020,"Action, Drama, Thriller",R,tt8784956,Matthew Newton,Tate Taylor
Avatar,2009,"Action, Adventure, Fantasy",PG-13,tt0499549,James Cameron,James Cameron
Avatar The Way Of Water,2022,"Action, Adventure, Fantasy",PG-13,tt1630029,James Cameron,James Cameron
Avengers Age of Ultron,2015,"Action, Adventure, Sci-Fi",PG-13,tt2395427,Joss Whedon,Joss Whedon
Avengers Infinity War,2018,"Action, Adventure, Sci-Fi",PG-13,tt4154756,Christopher Markus,"Anthony Russo, Joe Russo"
Avengers: Endgame,2019,"Action, Adventure, Drama",PG-13,tt4154796,Christopher Markus,"Anthony Russo, Joe Russo"
Babylon,2022,"Comedy, Drama, History",R,tt10640346,Damien Chazelle,Damien Chazelle
Batman V Superman Dawn Of Justice,2016,"Action, Adventure, Sci-Fi",PG-13,tt2975590,Bob Kane,Zack Snyder
Battleship,2012,"Action, Adventure, Sci-Fi",PG-13,tt1440129,Jon Hoeber,Peter Berg
Before Midnight,2013,"Drama, Romance",R,tt2209418,Richard Linklater,Richard Linklater
Before Sunrise,1995,"Drama, Romance",R,tt0112471,Richard Linklater,Richard Linklater
Before Sunset,2004,"Drama, Romance",R,tt0381681,Richard Linklater,Richard Linklater
Beirut,2018,"Action, Crime, Drama",R,tt4669264,Tony Gilroy,Brad Anderson
Black Adam,2022,"Action, Adventure, Fantasy",PG-13,tt6443346,Adam Sztykiel,Jaume Collet-Serra
Black Hawk Down,2001,"Action, Drama, History",R,tt0265086,Mark Bowden,Ridley Scott
Black Mass,2015,"Biography, Crime, Drama",R,tt1355683,Mark Mallouk,Scott Cooper
Black Panther,2018,"Action, Adventure, Sci-Fi",PG-13,tt1825683,Ryan Coogler,Ryan Coogler
Black Panther Wakanda Forever,2022,"Action, Adventure, Drama",PG-13,tt9114286,Ryan Coogler,Ryan Coogler
Black Widow,2021,"Action, Adventure, Sci-Fi",PG-13,tt3480822,Eric Pearson,Cate Shortland
Blade Runner 2049,2017,"Action, Drama, Mystery",R,tt1856101,Hampton Fancher,Denis Villeneuve
Blood Diamond,2006,"Adventure, Drama, Thriller",R,tt0450259,Charles Leavitt,Edward Zwick
Blue Valentine,2010,"Drama, Romance",R,tt1120985,Derek Cianfrance,Derek Cianfrance
Boyhood,2014,Drama,R,tt1065073,Richard Linklater,Richard Linklater
Braveheart,1995,"Biography, Drama, History",R,tt0112573,Randall Wallace,Mel Gibson
Bridge of Spies,2015,"Drama, History, Thriller",PG-13,tt3682448,Matt Charman,Steven Spielberg
Broken Arrow,1996,"Action, Adventure, Thriller",R,tt0115759,Graham Yost,John Woo
Bullet Train,2022,"Action, Comedy, Thriller",R,tt12593682,Zak Olkewicz,David Leitch
Bully,2001,"Biography, Crime, Drama",TV-MA,tt0242193,Jim Schutze,Larry Clark
Buried,2010,"Drama, Mystery, Thriller",R,tt1462758,Chris Sparling,Rodrigo Cort?s
Burnt,2015,"Comedy, Drama",R,tt2503944,Steven Knight,John Wells
Capote,2005,"Biography, Crime, Drama",R,tt0379725,Dan Futterman,Bennett Miller
Captain America The Winter Soldier,2014,"Action, Adventure, Sci-Fi",PG-13,tt1843866,Christopher Markus,"Anthony Russo, Joe Russo"
Captain America: Civil War,2016,"Action, Sci-Fi",PG-13,tt3498820,Christopher Markus,"Anthony Russo, Joe Russo"
Captain Marvel,2019,"Action, Adventure, Sci-Fi",PG-13,tt4154664,Anna Boden,"Anna Boden, Ryan Fleck"
Captain Phillips,2013,"Action, Biography, Crime",PG-13,tt1535109,Billy Ray,Paul Greengrass
Cars,2006,"Animation, Adventure, Comedy",G,tt0317219,John Lasseter,"John Lasseter, Joe Ranft"
Cars 2,2011,"Animation, Adventure, Comedy",G,tt1216475,John Lasseter,"John Lasseter, Bradford Lewis"
Cars 3,2017,"Animation, Adventure, Comedy",G,tt3606752,Brian Fee,Brian Fee
Casino Royale,2006,"Action, Adventure, Thriller",PG-13,tt0381061,Neal Purvis,Martin Campbell
Clear and Present Danger,1994,"Action, Crime, Drama",PG-13,tt0109444,Tom Clancy,Phillip Noyce
Cliffhanger,1993,"Action, Adventure, Thriller",R,tt0106582,John Long,Renny Harlin
Closed Circuit,2013,"Crime, Drama, Mystery",R,tt2218003,Steven Knight,John Crowley
Cold Mountain,2003,"Adventure, Drama, Romance",R,tt0159365,Charles Frazier,Anthony Minghella
Color of Night,1994,"Drama, Mystery, Romance",R,tt0109456,Billy Ray,Richard Rush
Conan The Barbarian,1982,"Action, Adventure, Fantasy",R,tt0082198,Robert E. Howard,John Milius
Concussion,2015,"Biography, Drama, Sport",PG-13,tt3322364,Peter Landesman,Peter Landesman
Constantine,2005,"Action, Fantasy, Horror",R,tt0360486,Jamie Delano,Francis Lawrence
Contact,1997,"Drama, Mystery, Sci-Fi",PG,tt0118884,James V. Hart,Robert Zemeckis
Contagion,2011,"Drama, Thriller",PG-13,tt1598778,Scott Z. Burns,Steven Soderbergh
Crazy Stupid Love,2022,"Comedy, Drama, Romance",N/A,tt22029884,Jujur Prananto,Ainun Ridho
Crimson Tide,1995,"Action, Drama, Thriller",R,tt0112740,Michael Schiffer,Tony Scott
Dante's Peak,1997,"Action, Adventure, Thriller",PG-13,tt0118928,Leslie Bohem,Roger Donaldson
Dark Phoenix,2019,"Action, Adventure, Sci-Fi",PG-13,tt6565702,Simon Kinberg,Simon Kinberg
Deadpool,2016,"Action, Comedy",R,tt1431045,Rhett Reese,Tim Miller
Deadpool 2,2018,"Action, Adventure, Comedy",R,tt5463162,Rhett Reese,David Leitch
Defiance,2008,"Action, Drama, History",R,tt1034303,Clayton Frohman,Edward Zwick
Definitely Maybe,2008,"Comedy, Drama, Romance",PG-13,tt0832266,Adam Brooks,Adam Brooks
Deja Vu,2006,"Action, Crime, Sci-Fi",PG-13,tt0453467,Bill Marsilii,Tony Scott
Den Of Thieves,2018,"Action, Crime, Drama",R,tt1259528,Christian Gudegast,Christian Gudegast
Despicable,2010,"Animation, Adventure, Comedy",PG,tt1323594,Cinco Paul,"Pierre Coffin, Chris Renaud"
Despicable Me 2,2013,"Animation, Adventure, Comedy",PG,tt1690953,Cinco Paul,"Pierre Coffin, Chris Renaud"
Devotion,2022,"Action, Biography, Drama",PG-13,tt7693316,Jake Crane,J.D. Dillard
Diamonds Are Forever,1971,"Action, Adventure, Thriller",GP,tt0066995,Richard Maibaum,Guy Hamilton
Die Another Day,2002,"Action, Adventure, Thriller",PG-13,tt0246460,Ian Fleming,Lee Tamahori
Die Hard,1988,"Action, Thriller",R,tt0095016,Roderick Thorp,John McTiernan
Die Hard 2,1990,"Action, Thriller",R,tt0099423,Steven E. de Souza,Renny Harlin
Die Hard with a Vengeance,1995,"Action, Adventure, Thriller",R,tt0112864,Jonathan Hensleigh,John McTiernan
Disclosure,1994,"Drama, Thriller",R,tt0109635,Michael Crichton,Barry Levinson
District 13: Ultimatum,2009,"Action, Crime, Thriller",R,tt1247640,Luc Besson,Patrick Alessandrin
Divergent,2014,"Action, Adventure, Mystery",PG-13,tt1840309,Evan Daugherty,Neil Burger
Django Unchained,2012,"Drama, Western",R,tt1853728,Quentin Tarantino,Quentin Tarantino
Doctor Strange,2016,"Action, Adventure, Fantasy",PG-13,tt1211837,Jon Spaihts,Scott Derrickson
